iter	Passed	Remaining
0	147	147823
1	149	74769
2	151	50409
3	153	38162
4	154	30765
5	156	25928
6	159	22597
7	160	19940
8	162	17891
9	164	16289
10	165	14922
11	167	13793
12	169	12851
13	171	12083
14	172	11357
15	174	10726
16	176	10186
17	177	9686
18	178	9241
19	180	8861
20	182	8504
21	183	8179
22	186	7916
23	187	7642
24	189	7394
25	191	7158
26	192	6933
27	193	6727
28	195	6534
29	196	6352
30	198	6208
31	200	6075
32	202	5930
33	204	5807
34	205	5677
35	207	5553
36	208	5438
37	210	5328
38	211	5223
39	213	5125
40	215	5048
41	217	4956
42	219	4874
43	220	4793
44	222	4712
45	224	4646
46	225	4573
47	227	4507
48	229	4445
49	230	4382
50	232	4322
51	234	4272
52	235	4215
53	237	4158
54	238	4102
55	240	4054
56	241	4002
57	243	3961
58	245	3914
59	246	3868
60	248	3824
61	250	3782
62	251	3740
63	253	3702
64	254	3665
65	256	3628
66	258	3598
67	260	3564
68	261	3531
69	263	3496
70	264	3464
71	266	3430
72	267	3400
73	269	3369
74	270	3338
75	272	3312
76	274	3291
77	276	3264
78	277	3237
79	279	3209
80	280	3182
81	282	3158
82	282	3125
83	284	3100
84	286	3078
85	288	3065
86	290	3044
87	291	3022
88	293	3003
89	295	2983
90	296	2960
91	297	2939
92	299	2918
93	300	2897
94	302	2877
95	303	2862
96	305	2842
97	306	2824
98	308	2806
99	309	2788
100	311	2771
101	312	2753
102	314	2736
103	315	2718
104	316	2701
105	318	2689
106	320	2677
107	322	2661
108	323	2646
109	325	2632
110	326	2617
111	328	2603
112	329	2590
113	331	2575
114	333	2564
115	334	2551
116	335	2535
117	337	2525
118	339	2511
119	340	2497
120	342	2484
121	343	2469
122	344	2457
123	346	2446
124	347	2435
125	349	2424
126	350	2411
127	352	2400
128	353	2389
129	355	2378
130	356	2366
131	358	2356
132	359	2345
133	361	2333
134	363	2326
135	364	2318
136	366	2311
137	368	2302
138	370	2292
139	371	2284
140	373	2274
141	374	2261
142	375	2252
143	377	2242
144	379	2236
145	380	2227
146	382	2219
147	383	2210
148	385	2202
149	387	2194
150	388	2185
151	390	2177
152	391	2168
153	394	2166
154	395	2157
155	397	2149
156	398	2140
157	399	2131
158	401	2123
159	403	2115
160	404	2106
161	405	2098
162	407	2092
163	409	2088
164	411	2080
165	412	2073
166	414	2066
167	415	2059
168	417	2052
169	418	2045
170	420	2038
171	422	2031
172	424	2027
173	425	2021
174	427	2014
175	429	2009
176	430	2002
177	432	1996
178	433	1990
179	436	1987
180	437	1980
181	439	1974
182	441	1969
183	442	1963
184	444	1958
185	446	1953
186	448	1947
187	449	1941
188	451	1936
189	452	1931
190	455	1928
191	456	1922
192	458	1918
193	460	1912
194	461	1906
195	463	1901
196	465	1899
197	467	1895
198	470	1892
199	471	1887
200	473	1883
201	475	1877
202	477	1875
203	479	1869
204	480	1864
205	483	1865
206	485	1860
207	487	1856
208	489	1850
209	490	1845
210	492	1842
211	494	1837
212	495	1832
213	497	1828
214	499	1825
215	501	1820
216	503	1815
217	505	1811
218	506	1807
219	508	1802
220	510	1799
221	512	1794
222	514	1793
223	516	1790
224	519	1788
225	520	1783
226	522	1778
227	524	1775
228	525	1770
229	527	1765
230	529	1763
231	531	1759
232	533	1755
